team_id,team_name_short,team_name
3766,Olympique Lyonnais,Olympique Lyonnais
3767,PSG,Paris Saint-Germain FC
3770,Nantes,FC Nantes
3771,Olympique Marseille,Olympique de Marseille
3772,Bordeaux,FC Girondins de Bordeaux
3774,Rennes,Stade Rennais FC
3775,Nice,O.G.C. Nice C\u00f4te d'Azur
3776,Lille,Lille OSC M\u00e9tropole
3777,Metz,FC Metz
3779,Strasbourg,RC Strasbourg Alsace
3780,Toulouse,Toulouse FC
3782,Saint Etienne,AS Saint-\u00c9tienne
3783,Caen,Stade Malherbe Caen
3785,Guingamp,En Avant Guingamp
3787,Montpellier,Montpellier HSC
3789,Amiens SC,Amiens SC
3795,Troyes,Esp\u00e9rance Sportive Troyes Aube Champagne
3799,Angers,Angers SCO
3804,Dijon,Dijon FCO
19830,Monaco,AS Monaco FC
